"lambda_rel","doc_name","domain","question","layout_retrieved","gt","first_hit_rank","recall","source_range"
"0.5","NYSE_TM_2021","Financial report","How does the Fleet Management System of Toyota respond when there is an increase in waiting customers?","[17167, 17274, 17302, 17303, 17265, 17276, 16733, 17380, 16693, 17544]","[17146]","Not Found","0.0","185-200"
"0.5","NYSE_TM_2021","Financial report","What is the difference in the rate of the engine being off during driving between HEVs and PHEVs?","[17187, 17186, 16949, 17041, 17373, 17174, 16925, 17048, 17078, 17016]","[17187]","1","1.0","185-200"
"0.5","NYSE_TM_2021","Financial report","What is the largest category of shareholders shown in the company's ownership breakdown?","[18184, 214, 22493, 3380, 17722, 9439, 5944, 7122, 9073, 565]","[17722]","5","1.0","185-200"
"0.5","NYSE_TM_2021","Financial report","What is the role of the Board of Directors in Toyota's Corporate Governance structure?","[17268, 17297, 14102, 17283, 1647, 17266, 17272, 17281, 14110, 17263]","[17268]","1","1.0","185-200"
"0.5","NYSE_TM_2021","Financial report","What is the target percentage for the reduction in cost of a single battery?","[20466, 17069, 17065, 17064, 17050, 11781, 17063, 17049, 9071, 1510]","[17065]","3","1.0","185-200"
"0.5","NYSE_TM_2021","Financial report","How does the evolution of battery control models contribute to the development of Toyota's next-generation BEVs?","[17064, 17069, 17051, 17063, 17073, 17370, 17066, 17035, 17003, 17204]","[17063]","4","1.0","185-200"
"0.5","NYSE_TM_2021","Financial report","On which page does the document detail the Toyota Production System (TPS)?","[16674, 16676, 16679, 16678, 16675, 17580, 16677, 16596, 17520, 17167]","[16674, 16651]","1","0.5","185-200"
"0.5","PH_2016.06.08_Economy-Final","Research report / Introduction","According to the report, how do 5% of the Latinos see economic upward mobility for their children?","[6637, 6634, 6635, 6632, 6633, 8533, 6636, 6676, 6711, 6677]","[6634]","2","1.0","200-280"
"0.5","PH_2016.06.08_Economy-Final","Research report / Introduction","According to the report, which one is greater in population in the survey? Foreign born Latinos, or the Latinos interviewed by cellphone?","[10096, 6734, 10110, 10098, 10099, 10101, 7851, 10106, 6093, 9967]","[6724, 6732]","Not Found","0.0","200-280"
"0.5","PH_2016.06.08_Economy-Final","Research report / Introduction","From this report, which subgroup among Hispanics has gained most confidence from 2008 to 2015? ","[6684, 6694, 6625, 6661, 6665, 6637, 6689, 6675, 6708, 8054]","[6684, 6694, 6695]","1","0.67","200-280"
"0.5","PH_2016.06.08_Economy-Final","Research report / Introduction","Among all 12 references in this report, how many are from its own research center?","[8900, 5966, 5379, 5044, 7866, 6051, 7412, 13782, 9886, 10015]","[6600, 6736, 6737, 6738, 6739, 6740, 6741, 6742, 6743, 6744, 6745]","Not Found","0.0","200-280"
"0.5","PH_2016.06.08_Economy-Final","Research report / Introduction","According to this report, among the Hispanics shaped by four current personal financial situation, which situation involves the highest percentage that expects their future financial situation to get a lot worse?","[6710, 6705, 6683, 6708, 6698, 6707, 6627, 8699, 6689, 6647]","[6708]","4","1.0","200-280"
"0.5","PH_2016.06.08_Economy-Final","Research report / Introduction","According to this report, from 2014 to 2015, one group has the most significant drop of percentage of households claiming their income was falling behind cost of living.
Which group is this, and what is the percentage droped?","[7824, 6673, 7816, 6671, 7821, 6675, 7817, 6643, 6674, 8901]","[6673]","2","1.0","200-280"
"0.5","earlybird-110722143746-phpapp02_95","Research report / Introduction","How many more millions of dollars was the median exit valuation in the USA compared to Europe at the time of the presentation?","[3476, 9047, 21340, 21342, 21337, 21394, 8111, 7851, 8332, 6099]","[21282, 21286]","Not Found","0.0","200-280"
"0.5","earlybird-110722143746-phpapp02_95","Research report / Introduction","Which was greater at the time of the presentation, Europe IPO index value or US IPO index value?","[21296, 21297, 21298, 21299, 21301, 21281, 21300, 6114, 6034, 6557]","[21296, 21298]","1","1.0","200-280"
"0.5","earlybird-110722143746-phpapp02_95","Research report / Introduction","How many human quotes are provided with source in this document?","[15916, 11427, 11541, 1747, 11355, 8949, 334, 13957, 18425, 1792]","[21380, 21381, 21318, 21321, 21322, 21324, 21388, 21389, 21306, 21307]","Not Found","0.0","200-280"
"0.5","earlybird-110722143746-phpapp02_95","Research report / Introduction","Which two magazines' opinions are selected to illustrate the situation of German venture capital?","[21358, 21382, 21311, 21282, 21312, 21281, 11355, 21321, 21289, 21318]","[21364, 21372]","Not Found","0.0","200-280"
"0.5","earlybird-110722143746-phpapp02_95","Research report / Introduction","On the chart showing average exit cap, there is one point that US, Europe, and China have the same average exit cap value. What is this value in USD million? Give me an integer","[21340, 6074, 16252, 21335, 6463, 21312, 7606, 20793, 4008, 4006]","[21340]","1","1.0","200-280"
"0.5","ddoseattle-150627210357-lva1-app6891_95","Tutorial/Workshop","According to the chart ""Levels of Analytics"", what are the four business analystics activities?","[19395, 21453, 19393, 7349, 19394, 19517, 17674, 21533, 19397, 9449]","[19393, 19395]","1","1.0","200-280"
"0.5","ddoseattle-150627210357-lva1-app6891_95","Tutorial/Workshop","According to the flowchart ""Analytics Value Chain"", what comes between Reporting and Action?","[19397, 19399, 19398, 19400, 19396, 1955, 19401, 20164, 20273, 20325]","[19397]","1","1.0","200-280"
"0.5","ddoseattle-150627210357-lva1-app6891_95","Tutorial/Workshop","What are the examples the slides show ""what does not make you data-driven""","[19388, 19390, 19391, 19404, 19497, 19380, 19524, 19507, 19504, 19389]","[19402, 19404, 19388, 19390, 19391]","1","0.8","200-280"
"0.5","ddoseattle-150627210357-lva1-app6891_95","Tutorial/Workshop","Which Youtube does the slides use to show the consequce of blindly following data?","[7459, 19503, 12244, 14810, 11625, 19498, 7612, 10580, 15943, 21536]","[19498, 19500, 19501]","6","0.33","200-280"
"0.5","ddoseattle-150627210357-lva1-app6891_95","Tutorial/Workshop","How many hand drawn cartoons are included in the slides to illustrate the idea?","[19410, 16753, 4733, 15185, 18537, 18535, 15184, 17373, 17642, 17372]","[19429, 19430, 19469, 19501, 19503]","Not Found","0.0","200-280"
"0.5","ddoseattle-150627210357-lva1-app6891_95","Tutorial/Workshop","In the cartoon in page 25, what does the hippo represent?","[19430, 19053, 15390, 5729, 18459, 11451, 17488, 10485, 15591, 197]","[19431]","Not Found","0.0","200-280"
"0.5","PG_2021.03.04_US-Views-on-China_FINAL","Research report / Introduction","Among all valid respondents,  how many rep/lean rep independents (the exact number, not the ratio) favor building a strong relationship with China on trade? Please give your answer to the nearest hundred, such as 100, 200 or 300....","[5904, 5855, 6503, 5905, 6516, 6419, 6434, 6498, 6484, 6512]","[6589, 6503]","3","0.5","200-280"
"0.5","PG_2021.03.04_US-Views-on-China_FINAL","Research report / Introduction","Please list all countries whose power and influence respondents would like to see diminished in the results of this report on Questions Q41a-t.","[6146, 7675, 6899, 10208, 6372, 7697, 6354, 16704, 7445, 16700]","[6414]","Not Found","0.0","200-280"
"0.5","PG_2021.03.04_US-Views-on-China_FINAL","Research report / Introduction","According to the survry,  what's the absolute percent change of dem/lean dem respondents viewing China's growing military power a very serious threat from 2020 to 2021?","[6455, 6338, 6443, 6137, 6454, 20795, 6440, 6439, 6330, 6419]","[6455]","1","1.0","200-280"
"0.5","PG_2020.03.09_US-Germany_FINAL","Research report / Introduction","What's the percentage value of west Germany respondents viewing Germany's relationship with the United States is as important as its relationship with Russia?","[6032, 6047, 6048, 6044, 6050, 6051, 6046, 6231, 5994, 5977]","[6068]","Not Found","0.0","200-280"
"0.5","PG_2020.03.09_US-Germany_FINAL","Research report / Introduction","Among people who age 30-49, what is the difference of percentage value between Americen and Germen having positive view on their bilateral relationship?","[6394, 6064, 5862, 7485, 8366, 6218, 5879, 8816, 9249, 8652]","[5984]","Not Found","0.0","200-280"
"0.5","PG_2020.03.09_US-Germany_FINAL","Research report / Introduction","Enumerate all chapter names (for example, Sharp divides in German and American views of security issues, from use of force to defense budgeting) that discussed the relationship between Germany or the U.S. with NATO. Your answer should be a list.","[5972, 5977, 5988, 6079, 5987, 5994, 6022, 6038, 6020, 5998]","[5987, 6077]","5","0.5","200-280"
"0.5","PG_2020.03.09_US-Germany_FINAL","Research report / Introduction","List all titles of the charts (for example, Americans and Germans diverge sharply in their views of bilateral relations) in which the results are grouped by political affiliation.","[5974, 5979, 5978, 6079, 5980, 6020, 5981, 5977, 5976, 6038]","[6051, 6084, 6032, 6038, 6009]","10","0.2","200-280"
"0.5","PG_2020.03.09_US-Germany_FINAL","Research report / Introduction","According to this report,  what percentage of Germany respondent view China or Japan as the top economic power? Give me a percantage value.","[5928, 6074, 6071, 6072, 6073, 21286, 6044, 11530, 6461, 6324]","[6074]","2","1.0","200-280"
"0.5","efd88e41c5f2606c57929cac6c1c0605","Research report / Introduction","Which individual lead this program?","[1608, 15310, 15748, 15483, 1872, 456, 12546, 457, 1773, 1766]","[21950]","Not Found","0.0","200-280"
"0.5","efd88e41c5f2606c57929cac6c1c0605","Research report / Introduction","How many chapters are in this report?","[21929, 21903, 15795, 18950, 18953, 12436, 20449, 21887, 800, 20175]","[21882]","Not Found","0.0","200-280"
"0.5","efd88e41c5f2606c57929cac6c1c0605","Research report / Introduction","What are the last 4 chapters listed in the table of contents?","[6609, 9901, 6613, 9900, 6608, 6614, 9904, 10441, 10439, 10440]","[21882]","Not Found","0.0","200-280"
"0.5","efd88e41c5f2606c57929cac6c1c0605","Research report / Introduction","List the no. of chapters including research highlight. The answer shall be formatted as a list, for example, [""Chapter 5"", ""Chapter 8""].","[19778, 18955, 21929, 3656, 11175, 16139, 4305, 3401, 20652, 15162]","[21928, 21882]","Not Found","0.0","200-280"
"0.5","edb88a99670417f64a6b719646aed326","Administration/Industry file","Where is the complainant from? Your answer should be formatted as ""[City], [State]""","[21696, 21818, 10780, 15836, 21813, 21794, 21799, 21756, 10146, 21836]","[21702]","Not Found","0.0","200-280"
"0.5","avalaunchpresentationsthatkickasteriskv3copy-150318114804-conversion-gate01_95","Tutorial/Workshop","According to the presentation, what are three bad fonts?","[16754, 10945, 12336, 19480, 15577, 18498, 12726, 18516, 19171, 20199]","[16754]","1","1.0","200-280"
"0.5","avalaunchpresentationsthatkickasteriskv3copy-150318114804-conversion-gate01_95","Tutorial/Workshop","How many reasons your presentation needs for asterisk kicked?","[16803, 16804, 5546, 2791, 16746, 7246, 9834, 17562, 3513, 16744]","[16752, 16754, 16747, 16750]","Not Found","0.0","200-280"
"0.5","asdaaburson-marstellerarabyouthsurvey2014-140407100615-phpapp01_95","Research report / Introduction","In 2014, respondents who believe traditional values are outdated increased by how many percentage points compared to 2011?","[16641, 18492, 18494, 20712, 16640, 16644, 16643, 21348, 7063, 16639]","[16641]","1","1.0","200-280"
"0.5","asdaaburson-marstellerarabyouthsurvey2014-140407100615-phpapp01_95","Research report / Introduction","In the year in which Palestine was added to the survey, respondents who believe traditional values are outdated increased by how many percentage points compared to 2011?","[16641, 18492, 16644, 18494, 16640, 19534, 7854, 8203, 8870, 16643]","[16641, 16627, 16631]","1","0.33","200-280"
"0.5","asdaaburson-marstellerarabyouthsurvey2014-140407100615-phpapp01_95","Research report / Introduction","Which country had the highest percentage of respondents for whom traditional values mean a lot?","[16641, 16639, 16643, 16644, 16640, 8026, 19624, 9460, 16721, 9984]","[16641, 16645]","1","0.5","200-280"
"0.5","asdaaburson-marstellerarabyouthsurvey2014-140407100615-phpapp01_95","Research report / Introduction","What is the 8th (out of top10) findings listed in this presentation?","[3712, 6423, 19533, 3493, 9666, 16621, 16090, 2937, 19617, 15077]","[16708]","Not Found","0.0","200-280"
"0.5","asdaaburson-marstellerarabyouthsurvey2014-140407100615-phpapp01_95","Research report / Introduction","Among the top 10 findings, how many of them are supported by statistical results grouped by the countries?","[16645, 5994, 6484, 6196, 21312, 6038, 16700, 16707, 20793, 6079]","[16672, 16641, 16675, 16645, 16718, 16689]","1","0.17","200-280"
"0.5","asdaaburson-marstellerarabyouthsurvey2014-140407100615-phpapp01_95","Research report / Introduction","According to this survey, which country’s youth show the greatest concern about unemployment problem?","[16659, 6443, 16734, 16663, 7816, 7128, 16667, 9098, 16669, 7066]","[16672, 16675]","Not Found","0.0","200-280"
"0.5","PIP_Seniors-and-Tech-Use_040314","Research report / Introduction","What is the percentage of people who do not go online?","[6792, 6857, 6804, 6854, 6777, 6801, 6764, 787, 6787, 6767]","[6792]","1","1.0","200-280"
"0.5","PIP_Seniors-and-Tech-Use_040314","Research report / Introduction","How many people who do not go online or only use SNS in the Older Adults and Technology by Princeton Survey Research Associates International from July 18 to September 30, 2013?","[6787, 6852, 6775, 6857, 6776, 6756, 6906, 6773, 6777, 6792]","[6789, 6790, 6791, 6792, 6793]","10","0.2","200-280"
"0.5","PIP_Seniors-and-Tech-Use_040314","Research report / Introduction","What is the percentage gap between male 65+ age group who use internet and  broadband at home in the Pew Research Center’s Internet Project July 18-September 30, 2013 tracking survey? Please write the answer into float format.","[6767, 6755, 6809, 6815, 6764, 6756, 6812, 6762, 6759, 6903]","[6805, 6815]","4","0.5","200-280"
"0.5","PIP_Seniors-and-Tech-Use_040314","Research report / Introduction","Among the Higher-income seniors, what are the percentage of them go online, has smartphone phone, and own a tablet computer? Please write the answer in the list format and in descend order,e.g., [""9%"",""8%""] in the Pew Research Center’s Internet Project July 18-September 30, 2013 tracking survey?","[6946, 6825, 6855, 6784, 6782, 6824, 6903, 6899, 6851, 7081]","[6824, 6805, 6832, 6815]","6","0.25","200-280"
"0.5","PIP_Seniors-and-Tech-Use_040314","Research report / Introduction","How many 65+ age group people go online 3-5 times per week or Every day in the Pew Research Center’s Internet Project July 18-September 30, 2013 tracking survey?","[6777, 6854, 6906, 6775, 6834, 6787, 6755, 6864, 6903, 6902]","[6777, 6870]","1","0.5","200-280"
"0.5","PIP_Seniors-and-Tech-Use_040314","Research report / Introduction","What is the gap of 65+ people with College graduate contain a cell phone and a tablet computer in the Pew Research Center’s Internet Project July 18-September 30, 2013 tracking survey. ? ","[6903, 6824, 6899, 6906, 6818, 7040, 16501, 9423, 7419, 6759]","[6889, 6874, 6884, 6879]","Not Found","0.0","200-280"
"0.5","PIP_Seniors-and-Tech-Use_040314","Research report / Introduction","What is the gap between male 65+ age group who use internet and  broadband at home in the Pew Research Center’s Internet Project July 18-September 30, 2013 tracking survey? Please write the answer into float format. ","[6767, 6755, 6809, 6764, 6815, 6756, 6759, 6762, 6805, 6854]","[6874, 6870]","Not Found","0.0","200-280"
"0.5","caltraincapacitymountainview1-150701205750-lva1-app6891_95","Research report / Introduction","How many lines go through the Union Square/Market Street station in San Francisco in the slides?","[17930, 11412, 2475, 13258, 17898, 7146, 3377, 12513, 17926, 2136]","[17930]","1","1.0","200-280"
"0.5","caltraincapacitymountainview1-150701205750-lva1-app6891_95","Research report / Introduction","How many figures of trains are appeared in the documents?","[17947, 17944, 17896, 17894, 11570, 17946, 17964, 17943, 17967, 17952]","[17955, 17959, 17960, 17965, 17972, 17975, 17944, 17947, 17951]","1","0.22","200-280"
"0.5","caltraincapacitymountainview1-150701205750-lva1-app6891_95","Research report / Introduction","How many colors are in the slide 14?","[20745, 18384, 19243, 20746, 17830, 16634, 17314, 11720, 20526, 1768]","[17920, 17922, 17923, 17924, 17925, 17926, 17927, 17928]","Not Found","0.0","200-280"
"0.5","caltraincapacitymountainview1-150701205750-lva1-app6891_95","Research report / Introduction","In the figure on slide 11, how many more locations are there for Established compared to Developing?","[16353, 17915, 2904, 16251, 17904, 17914, 11308, 17981, 20315, 20785]","[17915]","2","1.0","200-280"
"0.5","digitalmeasurementframework22feb2011v6novideo-110221233835-phpapp01_95","Tutorial/Workshop","In 24 months after the date of the presentation, what is expected to happen to the value of data visualization?","[19464, 17819, 10508, 4869, 10507, 10509, 11360, 20288, 17150, 10442]","[19593]","Not Found","0.0","200-280"
"0.5","digitalmeasurementframework22feb2011v6novideo-110221233835-phpapp01_95","Tutorial/Workshop","Did more respondents say they are Product/Brand Focused or Customer Focused?","[19616, 20468, 19619, 20475, 20476, 20473, 20472, 20478, 20471, 20477]","[19616, 19613]","1","0.5","200-280"
"0.5","digitalmeasurementframework22feb2011v6novideo-110221233835-phpapp01_95","Tutorial/Workshop","How many shapes and colors of the shapes in the Slide 9? Please write the answer in the list format, e.g., [1,2]","[19255, 10873, 5864, 19257, 6455, 4766, 15498, 6792, 8883, 15077]","[19584, 19585, 19580, 19581, 19582, 19583]","Not Found","0.0","200-280"
"0.5","digitalmeasurementframework22feb2011v6novideo-110221233835-phpapp01_95","Tutorial/Workshop","What is the subtraction result of ability to get the data's percentage and concerns with the data's percentage in slide 11?","[19590, 20161, 7359, 16711, 20356, 10557, 1530, 10530, 10443, 17730]","[19587, 19590]","1","0.5","200-280"
"0.5","digitalmeasurementframework22feb2011v6novideo-110221233835-phpapp01_95","Tutorial/Workshop","What is the sum of the total number of paid search's conversions in the year of 2007, 2008 and the number of green bars in the heroes happen here launch?","[19985, 6430, 8321, 20021, 20213, 11849, 9553, 20107, 9498, 8976]","[19921, 19985, 19923, 19924, 19925]","1","0.2","200-280"
"0.5","digitalmeasurementframework22feb2011v6novideo-110221233835-phpapp01_95","Tutorial/Workshop","In the Slide that mentioned Qualitative vs Quantitative Measurement, what are the colors of the text ""Qualitative"" and the background color of it? Please list the colors in list with alphabetical order, e.g., [""black"",""red""]","[19844, 18789, 19565, 4416, 18068, 9790, 18858, 9801, 19563, 17157]","[20113]","Not Found","0.0","200-280"
"0.5","bdf54dxa","Guidebook","Which step in the figure at the top of page 10 poured the salt to the dishwasher? Write the answer in int format.","[17528, 17302, 17599, 17476, 17487, 17314, 17485, 17525, 17303, 17469]","[17315]","Not Found","0.0","200-280"
"0.5","bdf54dxa","Guidebook","How many figures in page 13 contains the left arrows? Write down the number in float format with 2 decimals.","[5038, 15192, 15578, 18853, 16625, 5617, 4363, 7564, 18874, 15180]","[17345, 17346, 17342, 17343]","Not Found","0.0","200-280"
"0.5","bdf54dxa","Guidebook","In the adjusting the upper basket step, how many up arrows are contained in the figures? Write down the answers in float format with 1 decimal.","[15098, 15503, 14964, 15097, 14845, 15502, 11156, 15170, 15485, 4576]","[17351]","Not Found","0.0","200-280"
"0.5","bdf54dxa","Guidebook","To built-in install for the integrated diswasher model,  how many mm should the diswasher leave between the cabinet bottom and floor?","[17456, 17460, 17442, 17285, 17565, 17310, 17286, 17540, 15503, 17538]","[17461]","Not Found","0.0","200-280"
"0.5","bdf54dxa","Guidebook","How many possible problems does the diswasher may encounter before calling for service?","[20729, 17404, 15497, 17255, 17640, 17257, 11613, 17634, 17400, 17638]","[17492, 17493, 17494, 17495]","Not Found","0.0","200-280"
"0.5","PP_2019.01.17_Trump-economy_FINAL2","Research report / Introduction","What is the proportion of people who say they are very confident in Trump's ability to handle an international crisis?","[7697, 7694, 7706, 7700, 7693, 6346, 7695, 6428, 8634, 8321]","[7697]","1","1.0","200-280"
"0.5","PP_2019.01.17_Trump-economy_FINAL2","Research report / Introduction","What is the percentage difference between the proportion of people who are very confident in Trump's ability to make wise decisions about immigration policy and those who are not confident at all?","[7697, 7693, 7700, 7702, 7699, 7665, 7696, 7691, 7706, 7703]","[7697]","1","1.0","200-280"
"0.5","PP_2019.01.17_Trump-economy_FINAL2","Research report / Introduction","How many Republicans are not confident at all that Trump keeps his own business interests separate from the decisions he makes as president?","[7715, 7710, 7711, 7713, 7714, 7716, 6348, 7784, 7697, 5919]","[7716]","6","1.0","200-280"
"0.5","PP_2019.01.17_Trump-economy_FINAL2","Research report / Introduction","In the year when 58% of people thought it was too early to tell if Trump was a successful president, how many people believed that his economic policies had not much effect on the economic situation?","[7747, 7748, 7662, 7745, 6484, 7741, 7743, 7742, 8668, 7702]","[7754, 7748]","2","0.5","200-280"
"0.5","PP_2019.01.17_Trump-economy_FINAL2","Research report / Introduction","Compared to Trump in January 2019, what higher percentage of Republicans believed that Clinton in February 1995 would be an unsuccessful president in the long run?","[7676, 7762, 7758, 7754, 7755, 7757, 7723, 7756, 7678, 8623]","[7762]","2","1.0","200-280"
"0.5","PP_2019.01.17_Trump-economy_FINAL2","Research report / Introduction","In 2019, what is the percentage difference between those who are not too confident that Robert Mueller is conducting a fair investigation into Russian involvement in the 2016 election and those who were very confident in January 2018?","[7764, 7775, 7777, 7770, 7680, 7716, 10500, 7768, 6034, 11312]","[7778, 7771, 7772]","Not Found","0.0","200-280"
"0.5","PP_2019.01.17_Trump-economy_FINAL2","Research report / Introduction","In 2019, by what percentage is the total proportion of people who say they expect their personal financial situation to improve some or a lot over the course of the next year higher than the proportion of those saying jobs are difficult to find in their community?","[7804, 6627, 7795, 7808, 7801, 6947, 7794, 6705, 6698, 7815]","[7786, 7787, 7796, 7797, 7804]","1","0.2","200-280"
"0.5","PG_2020.05.21_International-Cooperation-COVID_FINAL","Research report / Introduction","How many EU people believe that they will have more influence in world affairs after the coronavirus outbreak compared to before the outbreak?","[6265, 6266, 6252, 6226, 6243, 6147, 6259, 6248, 6263, 6140]","[6249, 6253]","Not Found","0.0","200-280"
"0.5","PG_2020.05.21_International-Cooperation-COVID_FINAL","Research report / Introduction","In the United States, which group has the highest proportion of people who believe that the U.S. will have less influence in world affairs after the coronavirus outbreak compared to before the outbreak?","[6252, 6140, 6266, 6146, 6253, 6241, 6137, 6265, 6147, 5855]","[6249, 6253]","5","0.5","200-280"
"0.5","PG_2020.05.21_International-Cooperation-COVID_FINAL","Research report / Introduction","How many Hispanics believe the U.S. can learn a great deal from other countries around the world about ways to slow the spread of coronavirus?","[6155, 6199, 6151, 6158, 6154, 6156, 6157, 6121, 6143, 6150]","[6146, 6156]","6","0.5","200-280"
"0.5","PG_2020.05.21_International-Cooperation-COVID_FINAL","Research report / Introduction","What is the percentage difference between the proportion of people who believe the U.S. should help other countries deal with their problems and those who believe the U.S. has done a poor job in dealing with the coronavirus outbreak?

","[6139, 6144, 6174, 6177, 6146, 6138, 6172, 6209, 6121, 6140]","[6177, 6187]","4","0.5","200-280"
"0.5","PG_2020.05.21_International-Cooperation-COVID_FINAL","Research report / Introduction","How much greater is the partisan divide in the U.S. compared to the U.K. regarding whether the handling of the coronavirus outbreak has been good/excellent?","[6120, 6204, 6146, 6135, 6140, 6184, 6206, 6198, 6136, 6139]","[6202]","Not Found","0.0","200-280"
"0.5","PG_2020.05.21_International-Cooperation-COVID_FINAL","Research report / Introduction","In the United States, by what percentage is the proportion of people who believe the World Health Organization has done a good job in dealing with the coronavirus outbreak lower than the proportion of people who believe the U.S. has done a good job in dealing with the coronavirus outbreak?","[6217, 6218, 6122, 6214, 6146, 6241, 6118, 6184, 5855, 6187]","[6177, 6218, 6187]","2","0.67","200-280"
"0.5","PG_2020.05.21_International-Cooperation-COVID_FINAL","Research report / Introduction","How many more people over 65 years old do not trust information from the World Health Organization compared to postgraduates who do not trust information from the European Union in regard to the coronavirus outbreak?","[6222, 6232, 6237, 6241, 6236, 6226, 6218, 6147, 6234, 6240]","[6226, 6237]","3","1.0","200-280"
"0.5","afe620b9beac86c1027b96d31d396407","Financial report","What are the bankers' names associated with GODFREY PHILLIPS INDIA LIMITED? ","[16340, 16434, 16441, 16435, 16442, 21069, 16443, 16444, 9474, 16446]","[16348]","Not Found","0.0","200-280"
"0.5","afe620b9beac86c1027b96d31d396407","Financial report","What was the value of absolute percentage shortfall in India's GDP growth from 2002 to 2003 compared to the forecast?","[16237, 6631, 1703, 13923, 593, 11334, 16240, 11316, 11337, 21318]","[16237]","1","1.0","200-280"
"0.5","afe620b9beac86c1027b96d31d396407","Financial report","Where are the two plants of GODFREY PHILLIPS INDIA LIMITED located?","[16340, 16434, 1317, 16306, 16305, 16308, 16309, 16407, 16307, 13714]","[16424]","Not Found","0.0","200-280"
"0.5","afe620b9beac86c1027b96d31d396407","Financial report","Which executive directors have attended Board Meetings more than 6 times?","[16374, 16379, 16373, 16392, 16378, 16376, 16377, 1998, 1238, 1240]","[16370]","Not Found","0.0","200-280"
"0.5","afe620b9beac86c1027b96d31d396407","Financial report","How many companies do Mr. R.A. Shah, Mr. S.V. Shanbhag, and Mr. C.M. Maniar collectively hold directorships of the Board?","[16376, 16375, 16392, 16373, 16383, 16377, 16320, 16462, 1999, 2016]","[16376, 16377, 16379]","1","0.67","200-280"
"0.5","afe620b9beac86c1027b96d31d396407","Financial report","Who are the non-executive and independent directors of GODFREY PHILLIPS INDIA LIMITED? Enumerate all of them in a list.","[16340, 16441, 21223, 2006, 16435, 21149, 16436, 16379, 2138, 16442]","[16370]","Not Found","0.0","200-280"
"0.5","afe620b9beac86c1027b96d31d396407","Financial report","What were the GDP growth amounts for the first and second quarters respectively?","[11334, 19167, 11337, 16237, 11317, 21370, 11335, 11316, 21371, 11333]","[16237]","4","1.0","200-280"
"0.5","afe620b9beac86c1027b96d31d396407","Financial report","What are the years specified in the pie chart of the document? Format all of the years in a list like ['2006', '2007', '2011']","[1943, 6792, 2544, 21326, 6484, 16641, 21299, 21394, 1944, 20084]","[16248]","Not Found","0.0","200-280"
"0.5","afe620b9beac86c1027b96d31d396407","Financial report","How many figures are there in total in the article?","[6168, 6170, 1670, 21930, 18001, 18019, 12089, 10698, 272, 1648]","[16263, 16284, 16248, 16409, 16250, 16252]","Not Found","0.0","200-280"
"0.5","afe620b9beac86c1027b96d31d396407","Financial report","As the Chairman of the Board who serves as the President of the Society of Indian Law Firms (Western Region), how many membership of Board of other companies does he have?","[16376, 16377, 21186, 21277, 16370, 17687, 10807, 12198, 19349, 21161]","[16376, 16370, 16373]","1","0.67","200-280"
"0.5","e79deb02a0c0e87511080836c5d4347b","Administration/Industry file","Who produced the document that was revised on May 2016?","[6101, 17281, 8057, 58, 5052, 21859, 21072, 21073, 5499, 6601]","[21073]","8","1.0","200-280"
"0.5","e79deb02a0c0e87511080836c5d4347b","Administration/Industry file","What are the words written in the first rectangle on the top of the page two?","[5581, 4798, 4345, 4262, 4409, 4259, 4261, 13013, 12991, 18747]","[21088, 21089, 21103]","Not Found","0.0","200-280"
"0.5","e79deb02a0c0e87511080836c5d4347b","Administration/Industry file","WHAT IS THE 2nd OBJECTIVE OF REGULATORY EFFICIENCY?","[21101, 21099, 21102, 21100, 12733, 21179, 1294, 20851, 13678, 21123]","[21105]","Not Found","0.0","200-280"
"0.5","e79deb02a0c0e87511080836c5d4347b","Administration/Industry file","What is the name of the governor as mentioned on the first page of the document?","[2141, 1361, 853, 21150, 21101, 21223, 21950, 5187, 11171, 21219]","[21069]","Not Found","0.0","200-280"
"0.5","e79deb02a0c0e87511080836c5d4347b","Administration/Industry file","How many people are there in the images on the cover?","[16940, 17248, 17251, 17753, 11595, 12041, 10650, 11265, 18511, 21067]","[21063, 21065, 21066, 21067, 21068, 21070]","10","0.17","200-280"
"0.5","e79deb02a0c0e87511080836c5d4347b","Administration/Industry file","How many cats are there in the images on page 1?","[18464, 18466, 18475, 18533, 18531, 18537, 18473, 18459, 18535, 18453]","[21063, 21065, 21066, 21067, 21068, 21070]","Not Found","0.0","200-280"
"0.5","e79deb02a0c0e87511080836c5d4347b","Administration/Industry file","What is the title of the diagram on page 9?","[17388, 18904, 21810, 21731, 19210, 5424, 17584, 4804, 17912, 17342]","[21255]","Not Found","0.0","200-280"
"0.5","e79deb02a0c0e87511080836c5d4347b","Administration/Industry file","What are the top2 texts of the red words in the document?","[17835, 20718, 17858, 11359, 11446, 20693, 11752, 20648, 11404, 17811]","[21090, 21092]","Not Found","0.0","200-280"
"0.5","e79deb02a0c0e87511080836c5d4347b","Administration/Industry file","How many strengths and weaknesses are metioned in Appendix C? Represent these two numbers as format of list.","[21250, 10298, 175, 10356, 10357, 10340, 21258, 21270, 21259, 4641]","[21258, 21259]","7","1.0","200-280"
"0.5","e79deb02a0c0e87511080836c5d4347b","Administration/Industry file","How many appendices appear in the document?","[21077, 18837, 13957, 18533, 14090, 19008, 14162, 21076, 14187, 13938]","[21124, 21256, 21265, 21268, 21246]","Not Found","0.0","200-280"
